Component Item Number,Work Ord Number,Acctg Value,Total Issued,F g,Quantity Required,Over Issued,Over Ext $$,Status Flag
01-0279R|01,1055100,0.0011,2195,A,732,1463,1.6093,A
******,,,,,,,------,
01-0279R|01,,,,,,,5.2987,
,,,,,,,,
01-0280R|01,1054421,0.0031,123,C,118,5,0.0155,C
01-0280R|01,1054434,0.0031,2757,A,20,2737,8.4847,A
01-0280R|01,1054707,0.0031,81,C,73,8,0.0248,C
01-0280R|01,1055100,0.0031,3731,A,732,2999,9.2969,A
01-0280R|01,1055139,0.0031,614,A,312,302,0.9362,A
******,,,,,,,------,
01-0280R|01,,,,,,,18.7581,
,,,,,,,,
01-030-0038|01,1056807,0.0958,1594,A,1590,4,0.3832,A
01-030-0038|01,1058237,0.0958,976,A,40,936,89.6688,A
******,,,,,,,------,
01-030-0038|01,,,,,,,90.052,
,,,,,,,,
01-030-0039|01,1056807,0.02,1596,A,1590,6,0.12,A
01-030-0039|01,1058237,0.02,1404,A,40,1364,27.28,A
******,,,,,,,------,
01-030-0039|01,,,,,,,27.4,
,,,,,,,,
01-030-0114|01,1057962,0.0286,118,C,114,4,0.1144,C
01-030-0114|01,1058419,0.0286,67,A,66,1,0.0286,A
******,,,,,,,------,
01-030-0114|01,,,,,,,0.143,
,,,,,,,,
01-030-0265|01,1058419,0.0228,172,A,132,40,0.912,A
******,,,,,,,------,
01-030-0265|01,,,,,,,0.912,
,,,,,,,,
01-030-0267|01,1058419,0.0135,3000,A,66,2934,39.609,A
******,,,,,,,------,
01-030-0267|01,,,,,,,39.609,
,,,,,,,,
01-040-0027|01,1057962,0.0248,64,C,57,7,0.1736,C
01-040-0027|01,1058419,0.0248,2162,A,33,2129,52.7992,A
******,,,,,,,------,
01-040-0027|01,,,,,,,52.9728,
,,,,,,,,
01-090-0124|01,1056807,11.55,1596,A,1590,6,69.3,A
01-090-0124|01,1058237,11.55,41,A,40,1,11.55,A
******,,,,,,,------,
01-090-0124|01,,,,,,,80.85,
,,,,,,,,
01-090-0125|01,1056807,0.3287,1610,A,1590,20,6.574,A
01-090-0125|01,1058237,0.3287,50,A,40,10,3.287,A
******,,,,,,,------,
01-090-0125|01,,,,,,,9.861,
,,,,,,,,
01-090-0712|01,1057962,1.1892,65,C,57,8,9.5136,C
01-090-0712|01,1058419,1.1892,2145,A,33,2112,2511.5904,A
******,,,,,,,------,
01-090-0712|01,,,,,,,2521.104,
,,,,,,,,
01-090-0738|01,1058419,8.5544,36,A,33,3,25.6632,A
******,,,,,,,------,
01-090-0738|01,,,,,,,25.6632,
,,,,,,,,
01-090-0740|01,1057962,1.5877,154,C,57,97,154.0069,C
01-090-0740|01,1058419,1.5877,2634,A,33,2601,4129.6077,A
******,,,,,,,------,
01-090-0740|01,,,,,,,4283.6146,
,,,,,,,,
01-260-0363|01,1057962,0.9315,61,C,57,4,3.726,C
01-260-0363|01,1058419,0.9315,2722,A,33,2689,2504.8035,A
******,,,,,,,------,
01-260-0363|01,,,,,,,2508.5295,
,,,,,,,,
01-260-0419|01,1057962,0.5583,64,C,57,7,3.9081,C
01-260-0419|01,1058419,0.5583,714,A,33,681,380.2023,A
******,,,,,,,------,
01-260-0419|01,,,,,,,384.1104,
,,,,,,,,
01-290-0062|01,1057962,0.0954,64,C,57,7,0.6678,C
01-290-0062|01,1058419,0.0954,45,A,33,12,1.1448,A
******,,,,,,,------,
01-290-0062|01,,,,,,,1.8126,
,,,,,,,,
01-290-0063|01,1057962,0.0836,63,C,57,6,0.5016,C
01-290-0063|01,1058419,0.0836,652,A,33,619,51.7484,A
******,,,,,,,------,
01-290-0063|01,,,,,,,52.25,
,,,,,,,,
01-290-0090|01,1058419,0.5511,93,A,66,27,14.8797,A
******,,,,,,,------,
01-290-0090|01,,,,,,,14.8797,
,,,,,,,,
01-290-0092|01,1057962,0.9005,62,C,57,5,4.5025,C
01-290-0092|01,1058419,0.9005,2033,A,33,2000,1801,A
******,,,,,,,------,
01-290-0092|01,,,,,,,1805.5025,
,,,,,,,,
01-300-0182|01,1056807,0.02,1594,A,1590,4,0.08,A
01-300-0182|01,1058237,0.02,9256,A,40,9216,184.32,A
******,,,,,,,------,
01-300-0182|01,,,,,,,184.4,
,,,,,,,,
01-330-0004|01,1056807,0.1607,1596,A,1590,6,0.9642,A
01-330-0004|01,1058237,0.1607,1972,A,40,1932,310.4724,A
******,,,,,,,------,
01-330-0004|01,,,,,,,311.4366,
,,,,,,,,
0110-0001-0000|01,1056596,0.3875,276,C,226,50,19.375,C
******,,,,,,,------,
0110-0001-0000|01,,,,,,,19.375,
,,,,,,,,
0125-0082-0000|01,1056589,6.85,85,C,70,15,102.75,C
0125-0082-0000|01,1056596,6.85,239,C,226,13,89.05,C
******,,,,,,,------,
0125-0082-0000|01,,,,,,,191.8,
,,,,,,,,
0125-0083-0000|01,1056589,6.07,79,C,70,9,54.63,C
0125-0083-0000|01,1056596,6.07,242,C,226,16,97.12,C
******,,,,,,,------,
0125-0083-0000|01,,,,,,,151.75,
,,,,,,,,
02-0013R|01,1053958,0.021,1121,C,16,1105,23.205,C
02-0013R|01,1054433,0.021,354,A,344,10,0.21,A
02-0013R|01,1054434,0.021,3000,A,40,2960,62.16,A
02-0013R|01,1054677,0.021,195,C,160,35,0.735,C
02-0013R|01,1055022,0.021,504,C,480,24,0.504,C
02-0013R|01,1055100,0.021,3000,A,1464,1536,32.256,A
02-0013R|01,1055151,0.021,624,A,513,111,2.331,A
02-0013R|01,1055727,0.021,600,C,596,4,0.084,C
02-0013R|01,1055728,0.021,2376,A,408,1968,41.328,A
02-0013R|01,1055731,0.021,1652,A,192,1460,30.66,A
02-0013R|01,1055734,0.021,2616,A,474,2142,44.982,A
02-0013R|01,1056071,0.021,99,A,96,3,0.063,A
02-0013R|01,1056546,0.021,3485,C,3402,83,1.743,C
02-0013R|01,1057602,0.021,25654,A,24813,841,17.661,A
02-0013R|01,1057642,0.021,81,C,72,9,0.189,C
02-0013R|01,1057909,0.021,263,C,148,115,2.415,C
02-0013R|01,1057917,0.021,72,A,30,42,0.882,A
******,,,,,,,------,
02-0013R|01,,,,,,,261.408,
,,,,,,,,
02-0014R|01,1053934,0.015,1443,A,1440,3,0.045,A
02-0014R|01,1053958,0.015,74,C,64,10,0.15,C
02-0014R|01,1054398,0.015,19615,C,19608,7,0.105,C
02-0014R|01,1054434,0.015,2818,A,180,2638,39.57,A
02-0014R|01,1054485,0.015,814,A,128,686,10.29,A
02-0014R|01,1054677,0.015,96,C,80,16,0.24,C
02-0014R|01,1054707,0.015,304,C,292,12,0.18,C
02-0014R|01,1055022,0.015,2772,C,2640,132,1.98,C
02-0014R|01,1055066,0.015,880,C,856,24,0.36,C
02-0014R|01,1055075,0.015,7036,A,7020,16,0.24,A
02-0014R|01,1055100,0.015,7186,A,6588,598,8.97,A
02-0014R|01,1055138,0.015,185,A,180,5,0.075,A
02-0014R|01,1055727,0.015,1950,C,1937,13,0.195,C
02-0014R|01,1055728,0.015,4000,A,1326,2674,40.11,A
02-0014R|01,1057909,0.015,1469,C,1406,63,0.945,C
02-0014R|01,1057917,0.015,4000,A,360,3640,54.6,A
02-0014R|01,1058117,0.015,16000,A,13072,2928,43.92,A
02-0014R|01,1058600,0.015,8000,A,6834,1166,17.49,A
02-0014R|01,1058601,0.015,12000,A,11883,117,1.755,A
02-0014R|01,1058790,0.015,4000,A,190,3810,57.15,A
******,,,,,,,------,
02-0014R|01,,,,,,,278.37,
,,,,,,,,
02-0020R|01,1053934,0.0059,149,A,144,5,0.0295,A
02-0020R|01,1053958,0.0059,48,C,40,8,0.0472,C
02-0020R|01,1054434,0.0059,798,A,40,758,4.4722,A
02-0020R|01,1055022,0.0059,256,C,240,16,0.0944,C
02-0020R|01,1055100,0.0059,2480,A,1464,1016,5.9944,A
02-0020R|01,1055151,0.0059,67,A,57,10,0.059,A
02-0020R|01,1055731,0.0059,1621,A,48,1573,9.2807,A
02-0020R|01,1055734,0.0059,2701,A,711,1990,11.741,A
02-0020R|01,1056546,0.0059,457,C,378,79,0.4661,C
02-0020R|01,1056548,0.0059,318,C,312,6,0.0354,C
02-0020R|01,1057602,0.0059,3887,A,2757,1130,6.667,A
02-0020R|01,1057909,0.0059,287,C,148,139,0.8201,C
02-0020R|01,1057914,0.0059,689,C,162,527,3.1093,C
02-0020R|01,1058601,0.0059,821,A,699,122,0.7198,A
******,,,,,,,------,
02-0020R|01,,,,,,,43.5361,
,,,,,,,,
02-0021R|01,1054421,0.0054,202,C,118,84,0.4536,C
******,,,,,,,------,
02-0021R|01,,,,,,,0.4536,
,,,,,,,,
02-0030R|01,1054434,0.052,545,A,80,465,24.18,A
02-0030R|01,1054485,0.052,74,A,64,10,0.52,A
02-0030R|01,1054707,0.052,152,C,146,6,0.312,C
02-0030R|01,1055022,0.052,1687,C,1680,7,0.364,C
02-0030R|01,1055100,0.052,3000,A,2928,72,3.744,A
02-0030R|01,1055727,0.052,1050,C,1043,7,0.364,C
02-0030R|01,1055728,0.052,3000,A,714,2286,118.872,A
02-0030R|01,1057914,0.052,1584,C,1134,450,23.4,C
02-0030R|01,1058600,0.052,3198,A,2814,384,19.968,A
02-0030R|01,1058601,0.052,4946,A,4893,53,2.756,A
******,,,,,,,------,
02-0030R|01,,,,,,,194.48,
,,,,,,,,
02-0036R|01,1054398,0.0125,2066,C,2064,2,0.025,C
02-0036R|01,1055066,0.0125,444,C,428,16,0.2,C
02-0036R|01,1055138,0.0125,22,A,20,2,0.025,A
02-0036R|01,1055139,0.0125,437,A,78,359,4.4875,A
02-0036R|01,1055720,0.0125,1021,C,1020,1,0.0125,C
02-0036R|01,1055721,0.0125,765,A,760,5,0.0625,A
02-0036R|01,1057917,0.0125,1380,A,60,1320,16.5,A
02-0036R|01,1058117,0.0125,4000,A,1376,2624,32.8,A
02-0036R|01,1058790,0.0125,1368,A,20,1348,16.85,A
******,,,,,,,------,
02-0036R|01,,,,,,,70.9625,
,,,,,,,,
02-0042R|01,1054434,0.163,1799,A,80,1719,280.197,A
02-0042R|01,1055066,0.163,442,C,428,14,2.282,C
02-0042R|01,1055100,0.163,2856,A,2196,660,107.58,A
02-0042R|01,1057917,0.163,1000,A,30,970,158.11,A
******,,,,,,,------,
02-0042R|01,,,,,,,548.169,
,,,,,,,,
02-0054R|01,1053934,0.09,75,A,72,3,0.27,A
02-0054R|01,1054433,0.09,174,A,172,2,0.18,A
02-0054R|01,1055022,0.09,252,C,240,12,1.08,C
02-0054R|01,1055138,0.09,11,A,10,1,0.09,A
02-0054R|01,1055727,0.09,155,C,149,6,0.54,C
02-0054R|01,1055728,0.09,2567,A,102,2465,221.85,A
02-0054R|01,1055734,0.09,336,A,237,99,8.91,A
02-0054R|01,1056548,0.09,318,C,312,6,0.54,C
02-0054R|01,1058600,0.09,404,A,402,2,0.18,A
02-0054R|01,1058601,0.09,1473,A,699,774,69.66,A
******,,,,,,,------,
02-0054R|01,,,,,,,303.3,
,,,,,,,,
02-0055R|01,1054433,0.016,174,A,172,2,0.032,A
02-0055R|01,1055022,0.016,252,C,240,12,0.192,C
02-0055R|01,1055066,0.016,668,C,642,26,0.416,C
02-0055R|01,1055138,0.016,22,A,20,2,0.032,A
02-0055R|01,1055720,0.016,1026,C,1020,6,0.096,C
02-0055R|01,1055721,0.016,777,A,760,17,0.272,A
02-0055R|01,1056548,0.016,317,C,312,5,0.08,C
02-0055R|01,1057917,0.016,268,A,90,178,2.848,A
02-0055R|01,1058601,0.016,849,A,699,150,2.4,A
******,,,,,,,------,
02-0055R|01,,,,,,,6.368,
,,,,,,,,
02-0066R|01,1057917,0.0653,998,A,60,938,61.2514,A
******,,,,,,,------,
02-0066R|01,,,,,,,61.2514,
,,,,,,,,
02-0068R|01,1054187,0.0085,60,C,50,10,0.085,C
02-0068R|01,1054398,0.0085,1442,C,1032,410,3.485,C
02-0068R|01,1054421,0.0085,721,C,708,13,0.1105,C
02-0068R|01,1054433,0.0085,1205,A,1204,1,0.0085,A
02-0068R|01,1054485,0.0085,1686,A,320,1366,11.611,A
02-0068R|01,1054707,0.0085,768,C,730,38,0.323,C
02-0068R|01,1055022,0.0085,1764,C,1680,84,0.714,C
02-0068R|01,1055066,0.0085,220,C,214,6,0.051,C
02-0068R|01,1055100,0.0085,5951,A,5856,95,0.8075,A
02-0068R|01,1055138,0.0085,19,A,10,9,0.0765,A
02-0068R|01,1055139,0.0085,335,A,39,296,2.516,A
02-0068R|01,1055720,0.0085,514,C,510,4,0.034,C
02-0068R|01,1055721,0.0085,648,A,380,268,2.278,A
02-0068R|01,1055727,0.0085,1200,C,1192,8,0.068,C
02-0068R|01,1055728,0.0085,4000,A,816,3184,27.064,A
02-0068R|01,1055731,0.0085,1829,A,288,1541,13.0985,A
02-0068R|01,1056548,0.0085,3128,C,3120,8,0.068,C
02-0068R|01,1057914,0.0085,6263,C,1620,4643,39.4655,C
02-0068R|01,1057917,0.0085,135,A,30,105,0.8925,A
02-0068R|01,1058117,0.0085,4000,A,688,3312,28.152,A
02-0068R|01,1058600,0.0085,4166,A,4020,146,1.241,A
02-0068R|01,1058601,0.0085,8000,A,6990,1010,8.585,A
02-0068R|01,1058790,0.0085,638,A,10,628,5.338,A
******,,,,,,,------,
02-0068R|01,,,,,,,146.0725,
,,,,,,,,
02-0072R|01,1057909,0.0142,77,C,74,3,0.0426,C
******,,,,,,,------,
02-0072R|01,,,,,,,0.0426,
,,,,,,,,
02-0077R|01,1053934,0.009,75,A,72,3,0.027,A
02-0077R|01,1054434,0.009,2221,A,20,2201,19.809,A
02-0077R|01,1055066,0.009,227,C,214,13,0.117,C
02-0077R|01,1055075,0.009,1940,A,1404,536,4.824,A
02-0077R|01,1055100,0.009,1167,A,732,435,3.915,A
02-0077R|01,1055138,0.009,22,A,10,12,0.108,A
02-0077R|01,1055139,0.009,2454,A,507,1947,17.523,A
02-0077R|01,1055720,0.009,1021,C,1020,1,0.009,C
02-0077R|01,1055721,0.009,780,A,760,20,0.18,A
02-0077R|01,1057917,0.009,148,A,60,88,0.792,A
02-0077R|01,1058117,0.009,4000,A,688,3312,29.808,A
02-0077R|01,1058790,0.009,66,A,10,56,0.504,A
******,,,,,,,------,
02-0077R|01,,,,,,,77.616,
,,,,,,,,
02-0078R|01,1057909,0.21,223,C,222,1,0.21,C
******,,,,,,,------,
02-0078R|01,,,,,,,0.21,
,,,,,,,,
02-0080R|01,1053958,0.175,9,C,8,1,0.175,C
******,,,,,,,------,
02-0080R|01,,,,,,,0.175,
,,,,,,,,
02-0081R|01,1053958,0.099,9,C,8,1,0.099,C
02-0081R|01,1055734,0.099,239,A,237,2,0.198,A
02-0081R|01,1057602,0.099,2769,A,2757,12,1.188,A
02-0081R|01,1057909,0.099,98,C,74,24,2.376,C
******,,,,,,,------,
02-0081R|01,,,,,,,3.861,
,,,,,,,,
02-0083R|01,1054433,0.159,348,A,344,4,0.636,A
02-0083R|01,1055022,0.159,505,C,480,25,3.975,C
02-0083R|01,1055720,0.159,1021,C,1020,1,0.159,C
02-0083R|01,1055721,0.159,763,A,760,3,0.477,A
******,,,,,,,------,
02-0083R|01,,,,,,,5.247,
,,,,,,,,
02-0084R|01,1055022,0.175,505,C,480,25,4.375,C
02-0084R|01,1055727,0.175,300,C,298,2,0.35,C
02-0084R|01,1055728,0.175,806,A,204,602,105.35,A
02-0084R|01,1056548,0.175,628,C,624,4,0.7,C
02-0084R|01,1057914,0.175,404,C,324,80,14,C
02-0084R|01,1058600,0.175,919,A,804,115,20.125,A
02-0084R|01,1058601,0.175,1699,A,1398,301,52.675,A
******,,,,,,,------,
02-0084R|01,,,,,,,197.575,
,,,,,,,,
02-0085R|01,1053934,0.225,158,A,144,14,3.15,A
02-0085R|01,1055727,0.225,170,C,149,21,4.725,C
02-0085R|01,1055728,0.225,751,A,102,649,146.025,A
02-0085R|01,1056548,0.225,318,C,312,6,1.35,C
02-0085R|01,1057914,0.225,167,C,162,5,1.125,C
02-0085R|01,1058600,0.225,404,A,402,2,0.45,A
02-0085R|01,1058601,0.225,967,A,699,268,60.3,A
******,,,,,,,------,
02-0085R|01,,,,,,,217.125,
,,,,,,,,
02-0086R|01,1054433,0.0704,2993,A,2924,69,4.8576,A
02-0086R|01,1055022,0.0704,4308,C,4080,228,16.0512,C
02-0086R|01,1055727,0.0704,2677,C,2533,144,10.1376,C
02-0086R|01,1055728,0.0704,2295,A,1734,561,39.4944,A
02-0086R|01,1056548,0.0704,5313,C,5304,9,0.6336,C
02-0086R|01,1057914,0.0704,2785,C,2754,31,2.1824,C
02-0086R|01,1058600,0.0704,6849,A,6834,15,1.056,A
02-0086R|01,1058601,0.0704,12000,A,11883,117,8.2368,A
******,,,,,,,------,
02-0086R|01,,,,,,,82.6496,
,,,,,,,,
02-0087R|01,1054433,0.02,347,A,344,3,0.06,A
02-0087R|01,1055022,0.02,521,C,480,41,0.82,C
02-0087R|01,1055727,0.02,314,C,298,16,0.32,C
02-0087R|01,1055728,0.02,3686,A,204,3482,69.64,A
02-0087R|01,1055731,0.02,2313,A,96,2217,44.34,A
02-0087R|01,1056548,0.02,627,C,624,3,0.06,C
02-0087R|01,1057914,0.02,328,C,324,4,0.08,C
02-0087R|01,1058600,0.02,807,A,804,3,0.06,A
02-0087R|01,1058601,0.02,4000,A,1398,2602,52.04,A
******,,,,,,,------,
02-0087R|01,,,,,,,167.42,
,,,,,,,,
02-0088R|01,1055022,0.2122,252,C,240,12,2.5464,C
02-0088R|01,1055727,0.2122,150,C,149,1,0.2122,C
02-0088R|01,1055728,0.2122,179,A,102,77,16.3394,A
02-0088R|01,1056548,0.2122,313,C,312,1,0.2122,C
02-0088R|01,1057914,0.2122,166,C,162,4,0.8488,C
02-0088R|01,1058600,0.2122,417,A,402,15,3.183,A
02-0088R|01,1058601,0.2122,836,A,699,137,29.0714,A
******,,,,,,,------,
02-0088R|01,,,,,,,52.4134,
,,,,,,,,
02-0089R|01,1053934,0.4031,73,A,72,1,0.4031,A
02-0089R|01,1055022,0.4031,254,C,240,14,5.6434,C
02-0089R|01,1055727,0.4031,151,C,149,2,0.8062,C
02-0089R|01,1055728,0.4031,500,A,102,398,160.4338,A
02-0089R|01,1056548,0.4031,316,C,312,4,1.6124,C
02-0089R|01,1057914,0.4031,163,C,162,1,0.4031,C
02-0089R|01,1058601,0.4031,715,A,699,16,6.4496,A
******,,,,,,,------,
02-0089R|01,,,,,,,175.7516,
,,,,,,,,
02-0090R|01,1054433,0.0064,1670,A,1376,294,1.8816,A
02-0090R|01,1055022,0.0064,2016,C,1920,96,0.6144,C
02-0090R|01,1055720,0.0064,2048,C,2040,8,0.0512,C
02-0090R|01,1055721,0.0064,1546,A,1520,26,0.1664,A
02-0090R|01,1055727,0.0064,1800,C,1788,12,0.0768,C
02-0090R|01,1055728,0.0064,4000,A,1224,2776,17.7664,A
02-0090R|01,1056548,0.0064,4382,C,4368,14,0.0896,C
02-0090R|01,1057914,0.0064,2299,C,2268,31,0.1984,C
02-0090R|01,1058600,0.0064,5635,A,5628,7,0.0448,A
02-0090R|01,1058601,0.0064,9972,A,9786,186,1.1904,A
******,,,,,,,------,
02-0090R|01,,,,,,,22.08,
,,,,,,,,
02-0091R|01,1054433,0.0105,1394,A,1376,18,0.189,A
02-0091R|01,1055022,0.0105,2016,C,1920,96,1.008,C
02-0091R|01,1055720,0.0105,2060,C,2040,20,0.21,C
02-0091R|01,1055721,0.0105,1567,A,1520,47,0.4935,A
02-0091R|01,1055727,0.0105,1915,C,1788,127,1.3335,C
02-0091R|01,1055728,0.0105,4000,A,1224,2776,29.148,A
02-0091R|01,1056548,0.0105,4377,C,4368,9,0.0945,C
02-0091R|01,1057914,0.0105,2274,C,2268,6,0.063,C
02-0091R|01,1058600,0.0105,5671,A,5628,43,0.4515,A
02-0091R|01,1058601,0.0105,10538,A,9786,752,7.896,A
******,,,,,,,------,
02-0091R|01,,,,,,,40.887,
,,,,,,,,
02-0092R|01,1055731,0.062,1400,A,48,1352,83.824,A
******,,,,,,,------,
02-0092R|01,,,,,,,83.824,
,,,,,,,,
02-0102R|01,1055731,0.0094,1872,A,96,1776,16.6944,A
******,,,,,,,------,
02-0102R|01,,,,,,,16.6944,
,,,,,,,,
02-0103R|01,1055731,0.0077,3726,A,48,3678,28.3206,A
******,,,,,,,------,
02-0103R|01,,,,,,,28.3206,
,,,,,,,,
02-0104R|01,1055731,0.0018,3789,A,48,3741,6.7338,A
******,,,,,,,------,
02-0104R|01,,,,,,,6.7338,
,,,,,,,,
02-0105R|01,1055731,0.0183,194,A,48,146,2.6718,A
******,,,,,,,------,
02-0105R|01,,,,,,,2.6718,
,,,,,,,,
02-0106R|01,1055100,0.1213,735,A,732,3,0.3639,A
******,,,,,,,------,
02-0106R|01,,,,,,,0.3639,
,,,,,,,,
02-0108R|01,1054485,0.007,134,A,32,102,0.714,A
02-0108R|01,1054707,0.007,76,C,73,3,0.021,C
******,,,,,,,------,
02-0108R|01,,,,,,,0.735,
,,,,,,,,
02-0109R|01,1054421,0.005,122,C,118,4,0.02,C
02-0109R|01,1054485,0.005,194,A,32,162,0.81,A
02-0109R|01,1054707,0.005,82,C,73,9,0.045,C
******,,,,,,,------,
02-0109R|01,,,,,,,0.875,
,,,,,,,,
02-0111R|01,1054187,0.0075,32,C,25,7,0.0525,C
02-0111R|01,1054421,0.0075,602,C,590,12,0.09,C
02-0111R|01,1054434,0.0075,4000,A,180,3820,28.65,A
02-0111R|01,1054485,0.0075,652,A,288,364,2.73,A
02-0111R|01,1054707,0.0075,686,C,657,29,0.2175,C
02-0111R|01,1055100,0.0075,8000,A,6588,1412,10.59,A
02-0111R|01,1055727,0.0075,155,C,149,6,0.045,C
02-0111R|01,1055728,0.0075,2583,A,102,2481,18.6075,A
******,,,,,,,------,
02-0111R|01,,,,,,,60.9825,
,,,,,,,,
02-0117R|01,1055139,0.0036,1464,A,312,1152,4.1472,A
******,,,,,,,------,
02-0117R|01,,,,,,,4.1472,
,,,,,,,,
03-0053R|01,1055139,0.14,40,A,39,1,0.14,A
******,,,,,,,------,
03-0053R|01,,,,,,,0.14,
,,,,,,,,
03-0074R|01,1054421,0.0475,122,C,118,4,0.19,C
03-0074R|01,1054485,0.0475,62,A,32,30,1.425,A
03-0074R|01,1054707,0.0475,80,C,73,7,0.3325,C
03-0074R|01,1055138,0.0475,11,A,10,1,0.0475,A
03-0074R|01,1055734,0.0475,242,A,237,5,0.2375,A
******,,,,,,,------,
03-0074R|01,,,,,,,2.2325,
,,,,,,,,
03-0077R|01,1053958,0.063,10,C,8,2,0.126,C
03-0077R|01,1055151,0.063,64,A,57,7,0.441,A
03-0077R|01,1055727,0.063,151,C,149,2,0.126,C
03-0077R|01,1055728,0.063,1862,A,102,1760,110.88,A
03-0077R|01,1055734,0.063,2500,A,237,2263,142.569,A
03-0077R|01,1056546,0.063,381,C,378,3,0.189,C
03-0077R|01,1056548,0.063,313,C,312,1,0.063,C
03-0077R|01,1057602,0.063,5000,A,2757,2243,141.309,A
03-0077R|01,1057642,0.063,38,C,36,2,0.126,C
03-0077R|01,1057914,0.063,164,C,162,2,0.126,C
03-0077R|01,1058600,0.063,405,A,402,3,0.189,A
03-0077R|01,1058601,0.063,1714,A,699,1015,63.945,A
******,,,,,,,------,
03-0077R|01,,,,,,,460.089,
,,,,,,,,
03-0078R|01,1054485,0.495,305,A,32,273,135.135,A
03-0078R|01,1054707,0.495,76,C,73,3,1.485,C
******,,,,,,,------,
03-0078R|01,,,,,,,136.62,
,,,,,,,,
03-0120R|01,1053934,2.3,218,A,216,2,4.6,A
03-0120R|01,1057917,2.3,200,A,90,110,253,A
******,,,,,,,------,
03-0120R|01,,,,,,,257.6,
,,,,,,,,
03-0155R|01,1054398,0.1,2065,C,2064,1,0.1,C
03-0155R|01,1054677,0.1,48,C,40,8,0.8,C
03-0155R|01,1056071,0.1,25,A,24,1,0.1,A
03-0155R|01,1058117,0.1,2915,A,1376,1539,153.9,A
******,,,,,,,------,
03-0155R|01,,,,,,,154.9,
,,,,,,,,
03-0166R|01,1055075,0.059,2486,A,1404,1082,63.838,A
03-0166R|01,1055138,0.059,14,A,10,4,0.236,A
******,,,,,,,------,
03-0166R|01,,,,,,,64.074,
,,,,,,,,
03-0178R|01,1053934,1.48,73,A,72,1,1.48,A
03-0178R|01,1057917,1.48,138,A,30,108,159.84,A
