Component Item Number,Work Ord Number,Acctg Value,Total Issued,F g,Quantity Required,Over Issued,Over Ext $$,Status Flag
DRRFSCUB536K|01,1057418,0.0007,2905,C,2500,405,0.2835,C
DRRFSCUB536K|01,1058112,0.0007,6338,C,2200,4138,2.8966,C
DRRFSCUB536K|01,1058113,0.0007,2082,C,1600,482,0.3374,C
DRRFSCUB536K|01,1058182,0.0007,10000,A,8000,2000,1.4,A
DRRFSCUB536K|01,1058402,0.0007,10000,C,5000,5000,3.5,C
DRRFSCUB536K|01,1058403,0.0007,10000,C,3000,7000,4.9,C
DRRFSCUB536K|01,1058417,0.0007,7918,C,5000,2918,2.0426,C
DRRFSCUB536K|01,1058561,0.0007,9984,C,5000,4984,3.4888,C
DRRFSCUB536K|01,1058562,0.0007,10000,A,5000,5000,3.5,A
******,,,,,,,------,
DRRFSCUB536K|01,,,,,,,22.3489,
,,,,,,,,
DRRFSCUB8K66|01,1058112,0.0014,5635,C,2200,3435,4.809,C
DRRFSCUB8K66|01,1058113,0.0014,1997,C,1600,397,0.5558,C
DRRFSCUB8K66|01,1058181,0.0014,7959,C,5000,2959,4.1426,C
DRRFSCUB8K66|01,1058182,0.0014,10000,A,8000,2000,2.8,A
DRRFSCUB8K66|01,1058417,0.0014,5065,C,5000,65,0.091,C
DRRFSCUB8K66|01,1058561,0.0014,13779,C,5000,8779,12.2906,C
DRRFSCUB8K66|01,1058562,0.0014,10000,A,5000,5000,7,A
******,,,,,,,------,
DRRFSCUB8K66|01,,,,,,,31.689,
,,,,,,,,
DRRFSCUB953R|01,1058112,0.001,2337,C,2200,137,0.137,C
DRRFSCUB953R|01,1058113,0.001,6497,C,1600,4897,4.897,C
DRRFSCUB953R|01,1058182,0.001,10000,A,8000,2000,2,A
DRRFSCUB953R|01,1058402,0.001,10000,C,5000,5000,5,C
DRRFSCUB953R|01,1058403,0.001,10000,C,3000,7000,7,C
DRRFSCUB953R|01,1058417,0.001,9990,C,5000,4990,4.99,C
DRRFSCUB953R|01,1058561,0.001,9984,C,5000,4984,4.984,C
DRRFSCUB953R|01,1058562,0.001,10000,A,5000,5000,5,A
******,,,,,,,------,
DRRFSCUB953R|01,,,,,,,34.008,
,,,,,,,,
DRRFSCUG010K|01,1058113,0.0007,102845,C,102400,445,0.3115,C
DRRFSCUG010K|01,1058182,0.0007,510000,A,504000,6000,4.2,A
DRRFSCUG010K|01,1058402,0.0007,319998,C,315000,4998,3.4986,C
DRRFSCUG010K|01,1058403,0.0007,192599,C,189000,3599,2.5193,C
DRRFSCUG010K|01,1058561,0.0007,318968,C,315000,3968,2.7776,C
DRRFSCUG010K|01,1058562,0.0007,321004,A,315000,6004,4.2028,A
******,,,,,,,------,
DRRFSCUG010K|01,,,,,,,17.5098,
,,,,,,,,
DRRFSCUG01K0|01,1057418,0.001,46840,C,42500,4340,4.34,C
DRRFSCUG01K0|01,1058112,0.001,40000,C,37400,2600,2.6,C
DRRFSCUG01K0|01,1058113,0.001,30000,C,27200,2800,2.8,C
DRRFSCUG01K0|01,1058181,0.001,85460,C,85000,460,0.46,C
DRRFSCUG01K0|01,1058182,0.001,150000,A,136000,14000,14,A
DRRFSCUG01K0|01,1058402,0.001,90000,C,85000,5000,5,C
DRRFSCUG01K0|01,1058403,0.001,61062,C,51000,10062,10.062,C
DRRFSCUG01K0|01,1058561,0.001,89680,C,85000,4680,4.68,C
DRRFSCUG01K0|01,1058562,0.001,90000,A,85000,5000,5,A
******,,,,,,,------,
DRRFSCUG01K0|01,,,,,,,48.942,
,,,,,,,,
DRRFSCUG01M0|01,1057418,0.001,8036,C,7500,536,0.536,C
DRRFSCUG01M0|01,1058112,0.001,9994,C,6600,3394,3.394,C
DRRFSCUG01M0|01,1058113,0.001,6011,C,4800,1211,1.211,C
DRRFSCUG01M0|01,1058182,0.001,30000,A,24000,6000,6,A
DRRFSCUG01M0|01,1058402,0.001,18950,C,15000,3950,3.95,C
DRRFSCUG01M0|01,1058403,0.001,10000,C,9000,1000,1,C
DRRFSCUG01M0|01,1058417,0.001,20000,C,15000,5000,5,C
DRRFSCUG01M0|01,1058561,0.001,19952,C,15000,4952,4.952,C
DRRFSCUG01M0|01,1058562,0.001,20000,A,15000,5000,5,A
******,,,,,,,------,
DRRFSCUG01M0|01,,,,,,,31.043,
,,,,,,,,
DRRFSCUG022R|01,1058112,0.0011,8653,C,6600,2053,2.2583,C
DRRFSCUG022R|01,1058113,0.0011,8029,C,4800,3229,3.5519,C
DRRFSCUG022R|01,1058182,0.0011,30000,A,24000,6000,6.6,A
DRRFSCUG022R|01,1058402,0.0011,20000,C,15000,5000,5.5,C
DRRFSCUG022R|01,1058403,0.0011,16341,C,9000,7341,8.0751,C
DRRFSCUG022R|01,1058417,0.0011,20000,C,15000,5000,5.5,C
DRRFSCUG022R|01,1058561,0.0011,19952,C,15000,4952,5.4472,C
DRRFSCUG022R|01,1058562,0.0011,20000,A,15000,5000,5.5,A
******,,,,,,,------,
DRRFSCUG022R|01,,,,,,,42.4325,
,,,,,,,,
DRRFSCUG033R|01,1057418,0.0009,17974,C,17500,474,0.4266,C
DRRFSCUG033R|01,1058112,0.0009,19986,C,15400,4586,4.1274,C
DRRFSCUG033R|01,1058113,0.0009,11574,C,11200,374,0.3366,C
DRRFSCUG033R|01,1058182,0.0009,60000,A,56000,4000,3.6,A
DRRFSCUG033R|01,1058402,0.0009,40000,C,35000,5000,4.5,C
DRRFSCUG033R|01,1058403,0.0009,25749,C,21000,4749,4.2741,C
DRRFSCUG033R|01,1058417,0.0009,39933,C,35000,4933,4.4397,C
DRRFSCUG033R|01,1058562,0.0009,44888,A,35000,9888,8.8992,A
******,,,,,,,------,
